"Nom usuel de l'installation","Numéro de l'installation","Nom de la commune","Code INSEE","Code postal","Nom du lieu dit","Numero de la voie","Nom de la voie","location","Longitude","Latitude","Aucun aménagement d'accessibilité","Accessibilité handicapés à mobilité réduite","Accessibilité handicapés sensoriels","Emprise foncière en m2","Gardiennée avec ou sans logement de gardien","Multi commune","Nombre total de place de parking","Nombre total de place de parking handicapés","Installation particulière","Desserte métro","Desserte bus","Desserte Tram","Desserte train","Desserte bateau","Desserte autre","Nombre total d'équipements sportifs","Nombre total de fiches équipements","Date de mise à jour de la fiche installation"
"Terrain de Sports","440010002","Abbaretz","44001","44170","","","Le Bois Vert","[ 47.552265 , -1.532627]","-1.532627","47.552265","Oui","Non","Non","0","Non","Non","50","0","Non","Non","Oui","Non","Non","Non","Non","4","3","2014-05-06"
"Site de la Mine","440010003","Abbaretz","44001","44170","","","","[ 47.552265 , -1.532627]","-1.532627","47.552265","Oui","Non","Non","","Non","Non","50","2","Base de plein air et/ou de loisirs","Non","Oui","Non","Non","Non","Non","4","4","2014-05-06"
"Les 5 Tresors","440010004","Abbaretz","44001","44170","","","Rue de la Gare","[ 47.552265 , -1.532627]","-1.532627","47.552265","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Oui","Non","Non","1","1","2014-06-17"
"Ecole Maternelle Louis Davy","440010005","Abbaretz","44001","44170","","22","RUE DES ECOLES","[ 47.552265 , -1.532627]","-1.532627","47.552265","Non","Oui","Non","","Non","Non","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2014-06-12"
"Salle Polyvalente","440010006","Abbaretz","44001","44170","","","rue de la mairie","[ 47.552265 , -1.532627]","-1.532627","47.552265","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2014-06-17"
"Zone de Loisirs de la Salle Polyvalente","440010007","Abbaretz","44001","44170","","","rue de la mairie","[ 47.552265 , -1.532627]","-1.532627","47.552265","Oui","Non","Non","","Non","Non","150","1","Non","Non","Oui","Non","Non","Non","Non","3","2","2014-06-12"
"Complexe Sportif des Richardieres","440020001","Aigrefeuille-sur-Maine","44002","44140","","67","rue de la Chapelle","[ 47.075698 , -1.400693]","-1.400693","47.075698","Non","Oui","Non","0","Non","Non","215","3","Complexe sportif","Non","Oui","Non","Non","Non","Non","12","11","2011-05-05"
"Poney Club de la Violette","440020002","Aigrefeuille-sur-Maine","44002","44140","la violette","","","[ 47.075698 , -1.400693]","-1.400693","47.075698","Non","Oui","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","2","2","2012-12-10"
"Circuits de Randonnee","440020003","Aigrefeuille-sur-Maine","44002","44140","","","Chemin des tanneries","[ 47.075698 , -1.400693]","-1.400693","47.075698","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","3","3","2011-05-10"
"La Trelitiere","440020004","Aigrefeuille-sur-Maine","44002","44140","La Trélitière","","","[ 47.075698 , -1.400693]","-1.400693","47.075698","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-05-05"
"Parc du Plessis","440020005","Aigrefeuille-sur-Maine","44002","44140","le Plessis","","D 117","[ 47.075698 , -1.400693]","-1.400693","47.075698","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-05-05"
"Terrains de Sports Mfr","440020006","Aigrefeuille-sur-Maine","44002","44140","","","avenue de Nantes","[ 47.075698 , -1.400693]","-1.400693","47.075698","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-05-10"
"Le Moulin Reusard","440020007","Aigrefeuille-sur-Maine","44002","44140","Le Moulin Reusard","","","[ 47.075698 , -1.400693]","-1.400693","47.075698","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-05-05"
"Site du Guidreau","440020008","Aigrefeuille-sur-Maine","44002","44140","Le Guidreau","","","[ 47.075698 , -1.400693]","-1.400693","47.075698","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-07-05"
"Ecole Gustave Roch","440020010","Aigrefeuille-sur-Maine","44002","44140","","28","Avenue de Vendée","[ 47.075698 , -1.400693]","-1.400693","47.075698","Non","Oui","Non","","Non","Non","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2011-05-10"
"Salles des Echecs","440022114","Aigrefeuille-sur-Maine","44002","44140","","25","route de Nantes","[ 47.075698 , -1.400693]","-1.400693","47.075698","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","3","3","2011-05-10"
"Ensemble Sportif du Pontreau","440030001","Ancenis","44003","44150","","","Boulevard Joseph Vincent","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Avec logement de gardien","Non","78","4","Complexe sportif","Non","Oui","Non","Non","Non","Non","3","3","2011-05-30"
